Date,TotalSales,Time,Year,Month,Hour,Day
11,3.0,11-10-2014 18:0011-10-2015 17:0011-10-2016 08:0011-10-2016 09:0011-10-2016 11:0011-10-2017 15:0011-10-2018 12:00,2014201520162016201620172018,10101010101010,90,MondayTuesdayThursdayThursdayThursdayFridaySaturday
11,3.167,11-10-2018 17:00,2018,10,17,Saturday
11,3.33,11-10-2016 14:00,2016,10,14,Thursday
11,3.34,11-10-2015 13:0011-10-2015 16:0011-10-2017 14:00,201520152017,101010,43,TuesdayTuesdayFriday
11,3.4,11-10-2016 20:00,2016,10,20,Thursday
11,3.67,11-10-2015 21:00,2015,10,21,Tuesday
11,4.0,11-10-2014 11:0011-10-2015 08:0011-10-2016 15:0011-10-2016 21:0011-10-2017 11:00,20142015201620162017,1010101010,66,MondayTuesdayThursdayThursdayFriday
11,4.34,11-10-2015 18:00,2015,10,18,Tuesday
11,5.0,11-10-2014 14:0011-10-2016 10:0011-10-2016 12:0011-10-2016 16:0011-10-2017 09:00,20142016201620162017,1010101010,61,MondayThursdayThursdayThursdayFriday
11,5.25,11-10-2018 20:00,2018,10,20,Saturday
11,5.33,11-10-2014 08:0011-10-2014 17:00,20142014,1010,25,MondayMonday
11,6.0,11-10-2015 10:0011-10-2017 21:00,20152017,1010,31,TuesdayFriday
11,6.33,11-10-2018 09:00,2018,10,9,Saturday
11,7.0,11-10-2014 13:0011-10-2015 14:00,20142015,1010,27,MondayTuesday
11,7.1,11-10-2016 13:00,2016,10,13,Thursday
11,7.2330000000000005,11-10-2015 20:00,2015,10,20,Tuesday
11,7.33,11-10-2017 19:00,2017,10,19,Friday
11,8.0,11-10-2015 19:0011-10-2017 10:0011-10-2017 20:00,201520172017,101010,49,TuesdayFridayFriday
11,8.33,11-10-2014 12:00,2014,10,12,Monday
11,8.34,11-10-2018 10:00,2018,10,10,Saturday
11,9.33,11-10-2018 11:00,2018,10,11,Saturday
11,9.759,11-10-2015 09:00,2015,10,9,Tuesday
11,10.0,11-10-2014 20:0011-10-2016 18:0011-10-2018 13:00,201420162018,101010,51,MondayThursdaySaturday
11,11.0,11-10-2015 15:00,2015,10,15,Tuesday
11,12.0,11-10-2018 14:00,2018,10,14,Saturday
11,12.33,11-10-2015 12:00,2015,10,12,Tuesday
11,14.0,11-10-2017 12:00,2017,10,12,Friday
11,16.33,11-10-2016 19:00,2016,10,19,Thursday
11,25.2,11-10-2017 08:00,2017,10,8,Friday
12,0.0,12-10-2014 00:0012-10-2014 01:0012-10-2014 02:0012-10-2014 03:0012-10-2014 04:0012-10-2014 05:0012-10-2014 06:0012-10-2014 10:0012-10-2014 22:0012-10-2014 23:0012-10-2015 00:0012-10-2015 01:0012-10-2015 02:0012-10-2015 03:0012-10-2015 04:0012-10-2015 05:0012-10-2015 06:0012-10-2015 22:0012-10-2015 23:0012-10-2016 00:0012-10-2016 01:0012-10-2016 02:0012-10-2016 03:0012-10-2016 04:0012-10-2016 05:0012-10-2016 06:0012-10-2016 07:0012-10-2016 21:0012-10-2016 22:0012-10-2016 23:0012-10-2017 00:0012-10-2017 01:0012-10-2017 02:0012-10-2017 03:0012-10-2017 04:0012-10-2017 05:0012-10-2017 06:0012-10-2017 07:0012-10-2017 21:0012-10-2017 22:0012-10-2017 23:0012-10-2018 00:0012-10-2018 01:0012-10-2018 02:0012-10-2018 03:0012-10-2018 04:0012-10-2018 05:0012-10-2018 06:0012-10-2018 16:0012-10-2018 22:0012-10-2018 23:00,201420142014201420142014201420142014201420152015201520152015201520152015201520162016201620162016201620162016201620162016201720172017201720172017201720172017201720172018201820182018201820182018201820182018,101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,412,WednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySundaySundaySundaySundaySundaySundaySundaySundaySundaySundaySundayMondayMondayMondayMondayMondayMondayMondayMondayMondayMonday
12,0.34,12-10-2018 07:00,2018,10,7,Monday
12,1.0,12-10-2014 07:0012-10-2014 20:0012-10-2015 07:0012-10-2016 14:0012-10-2018 08:0012-10-2018 12:0012-10-2018 14:0012-10-2018 20:00,20142014201520162018201820182018,1010101010101010,102,WednesdayWednesdayThursdaySaturdayMondayMondayMondayMonday
12,2.0,12-10-2014 21:0012-10-2015 09:0012-10-2015 14:0012-10-2016 15:0012-10-2017 13:0012-10-2018 13:0012-10-2018 18:00,2014201520152016201720182018,10101010101010,103,WednesdayThursdayThursdaySaturdaySundayMondayMonday
12,2.066,12-10-2017 17:00,2017,10,17,Sunday
12,2.5,12-10-2015 21:00,2015,10,21,Thursday
12,3.0,12-10-2016 16:0012-10-2018 09:0012-10-2018 10:00,201620182018,101010,35,SaturdayMondayMonday
12,3.34,12-10-2016 13:0012-10-2017 08:00,20162017,1010,21,SaturdaySunday
12,3.35,12-10-2015 11:00,2015,10,11,Thursday
12,3.4659999999999997,12-10-2017 12:00,2017,10,12,Sunday
12,3.5,12-10-2018 15:00,2018,10,15,Monday
12,4.0,12-10-2015 13:0012-10-2016 10:0012-10-2017 15:00,201520162017,101010,38,ThursdaySaturdaySunday
12,4.33,12-10-2017 18:00,2017,10,18,Sunday
12,5.0,12-10-2015 15:0012-10-2016 09:00,20152016,1010,24,ThursdaySaturday
12,5.1,12-10-2015 20:00,2015,10,20,Thursday
12,6.0,12-10-2014 09:0012-10-2014 15:0012-10-2014 18:0012-10-2015 16:0012-10-2016 08:00,20142014201420152016,1010101010,66,WednesdayWednesdayWednesdayThursdaySaturday
12,6.2,12-10-2014 16:00,2014,10,16,Wednesday
12,6.53,12-10-2016 20:00,2016,10,20,Saturday
12,7.0,12-10-2015 08:0012-10-2017 10:0012-10-2017 20:00,201520172017,101010,38,ThursdaySundaySunday
12,7.3,12-10-2017 19:00,2017,10,19,Sunday
12,7.33,12-10-2015 19:00,2015,10,19,Thursday
12,8.0,12-10-2014 08:0012-10-2014 12:0012-10-2014 17:0012-10-2014 19:0012-10-2015 17:0012-10-2016 11:0012-10-2016 19:0012-10-2018 19:00,20142014201420142015201620162018,1010101010101010,122,WednesdayWednesdayWednesdayWednesdayThursdaySaturdaySaturdayMonday
12,8.129999999999999,12-10-2018 21:00,2018,10,21,Monday
12,8.33,12-10-2015 10:00,2015,10,10,Thursday
12,8.67,12-10-2017 09:00,2017,10,9,Sunday
12,9.2,12-10-2016 17:00,2016,10,17,Saturday
12,9.629999999999999,12-10-2017 14:00,2017,10,14,Sunday
12,10.0,12-10-2016 12:00,2016,10,12,Saturday
12,10.33,12-10-2018 17:00,2018,10,17,Monday
12,11.0,12-10-2014 13:0012-10-2018 11:00,20142018,1010,24,WednesdayMonday
12,11.34,12-10-2014 11:00,2014,10,11,Wednesday
12,12.74,12-10-2015 18:00,2015,10,18,Thursday
12,13.0,12-10-2017 11:00,2017,10,11,Sunday
12,14.0,12-10-2014 14:00,2014,10,14,Wednesday
12,16.0,12-10-2015 12:0012-10-2017 16:00,20152017,1010,28,ThursdaySunday
12,21.1,12-10-2016 18:00,2016,10,18,Saturday
